song_title,song_length,song_artists,album_title
Christmas of Love,5:33,Sunny Day Service,Christmas of Love
ハピネス,4:14,AI,INDEPENDENT
Fun Fun Christmas,4:46,BENI,Undress
Xmas with you,3:48,Beverly,Xmas with you
メリクリ,5:32,BoA,メリクリ
Christmas in Tokyo,4:06,Celeina Ann,Christmas in Tokyo
Kiss me -Xmas version- - Xmas version,3:40,chay,あなたの知らない私たち
クリスマスなんて大嫌い!!なんちゃって,4:24,Crazy Ken Band,Single Collection / P-VINE YEARS
Yuki No Christmas,4:49,DREAMS COME TRUE,Yuki No Christmas
Merry × Merry Xmas★,4:29,E-girls,E.G.11
リンドン,3:12,edda,からくり時計とタングの街
LAST CHRISTMAS,5:21,EXILE,LAST CHRISTMAS
With you 〜Luv merry X'mas〜,4:58,EXILE ATSUSHI,With you 〜Luv merry X'mas〜
Snowy Nights Serenade - Kokoro Mademo Tsunagitai,5:46,flumpool,Fantasia of Life Stripe
Christmas Time Again,4:16,FUKI,IN LOVE
Can't Wait 'Til Christmas,3:44,Hikaru Utada,Utada Hikaru SINGLE COLLECTION VOL.2
SOUNDS LIKE A LOVE SONG -winter.-,4:44,HIRAIDAI,SOUNDS LIKE A LOVE SONG -winter.-
1999,4:49,Hitsujibungaku,1999
Sally,3:32,LOVE PSYCHEDELICO,Sally
マイサンタクロース ~あなたと過ごすクリスマスイブ~,5:07,MACO,交換日記
サイレント・イヴ,5:00,Midori Karashima,Smile and Tears~涙が虹にかわる瞬間~
Good Night - Xmas Remix by The Hotpantz,3:28,"Mizuki Ohira, The Hotpantz",Good Night - Xmas Remix by The Hotpantz
クリスマスキャロルの頃には - NORTH FLOW,5:39,"Monkey Majik, Junichi Inagaki, Gagle",クリスマスキャロルの頃には (NORTH FLOW)
聖なる夜の贈り物,5:18,Motohiro Hata,All Time Best ハタモトヒロ (はじめまして盤)
まだ君は知らない MY PRETTIEST GIRL - Christmas ver.,4:29,Nissy,HOCUS POCUS 2
最後のメリークリスマス - album edit,4:44,Quruli,THE PIER
Illumination,4:22,SEKAI NO OWARI,Illumination
Snow Smile,5:07,Shota Shimizu,Snow Smile
灯り,4:27,ストレイテナー×秦 基博,Future Soundtrack
Jingle Mingle Lover,3:32,The Hotpantz,Jingle Mingle Lover
Winter Beat,4:10,Vickeblanka,wizard
ダイアモンドダストが消えぬまに,4:38,松任谷由実,ダイアモンドダストが消えぬまに
恋人がサンタクロース,5:04,松任谷由実,SURF & SNOW
クリスマスの朝,4:29,和田唱,クリスマスの朝
チキンライス,4:55,浜田雅功と槇原敬之,チキンライス